APOGEE_ID,GC_NAME,dPOS,SNREV,TEFF,LOGG_SPEC,STARFLAG,ASPCAPFLAG,VB_PROB,FE_H,FE_H_ERR,FE_H_FLAG,MG_FE,MG_FE_ERR,MG_FE_FLAG,SI_FE,SI_FE_ERR,SI_FE_FLAG,CA_FE,CA_FE_ERR,CA_FE_FLAG,C_FE,C_FE_ERR,C_FE_FLAG,AL_FE,AL_FE_ERR,AL_FE_FLAG,K_FE,K_FE_ERR,K_FE_FLAG,MN_FE,MN_FE_ERR,MN_FE_FLAG,DENSITY
b'2M19534471+1852462',NGC6838,0.16250779718666744,105.565025,4900.4834,2.6753,0,0,0.99866,-0.70085,0.012682342,0,0.306083,0.022310076,0,0.25543058,0.026694244,0,0.143255,0.032275103,0,0.030555964,0.034496214,0,0.24592102,0.035652984,0,0.15804905,0.06871206,0,-0.40014803,0.032631084,0,0.22040031833753684
b'2M00245189-7200031',NGC0104,0.0642088839775174,232.34041,4791.625,1.9593,0,0,1.0,-0.72898,0.00860989,0,0.318563,0.015249932,0,0.22160059,0.016952965,0,0.14555502,0.019669764,0,-0.25524998,0.020423967,0,0.346851,0.020922398,0,0.16802901,0.047323484,0,-0.16071802,0.0208114,0,0.22162863822339154
b'2M13255871-4736098',NGC5139,0.08588730375823495,827.6383,4235.626,0.59968,0,708,0.9999600000000001,-1.1922,0.011127329,0,0.254573,0.01912076,0,0.24187052,0.019643363,0,0.25817496,0.025272304,0,-0.25169003,0.021158041,0,0.67267096,0.023956528,0,0.21875894,0.05671732,0,-0.26419806,0.027114542,0,0.2231895123446994
b'2M19110769-6001239',NGC6752,0.055391042562410876,110.75845,5015.103,2.2255,0,0,0.99972,-1.4109,0.014713472,0,0.34576297,0.03245913,0,0.1988405,0.03564489,0,0.33893502,0.051988907,0,0.24277997,0.06640007,0,0.077680945,0.03931939,0,0.174559,0.09527031,0,-0.38409805,0.051363144,0,0.22370698203142836
b'2M05140673-4001298',NGC1851,0.035306445932636134,123.111565,4658.7656,1.2866,0,0,1.0,-1.1393,0.014164524,0,0.14725304,0.026247835,0,0.15597057,0.028970214,0,0.120095015,0.038861368,0,-0.5595499,0.038524378,0,-0.14021909,0.035961136,0,0.19235897,0.07809312,0,-0.27059805,0.039693296,0,0.22372074255146138
b'2M00524987-2636338',NGC0288,0.052719157825140764,122.991875,4817.8735,1.3278,0,0,1.0,-1.3507,0.014441195,0,0.2655431,0.029672096,0,0.29615068,0.032180466,0,0.1753751,0.045785703,0,-0.28338993,0.051407177,0,-0.027619004,0.036935274,0,0.23745906,0.087291345,0,-0.205598,0.046121873,0,0.22400907876742474
b'2M18544430-3024288',NGC6715,0.1605550403825279,105.152084,4162.257,1.3408,0,0,0.99821,-0.17483,0.012947732,0,-0.10793699,0.016413568,0,-0.11180438,0.019879624,0,-0.043427497,0.020949142,0,-0.27409,0.015436652,0,-0.43997902,0.03421279,0,-0.117211,0.050406225,0,-0.046547994,0.02162166,0,0.22430403428074144
b'2M10172073-4622293',NGC3201,0.06443750464377272,128.30054,4952.542,1.8896,0,0,1.0,-1.2943,0.013246659,0,0.06759405,0.027685741,0,0.11830461,0.030516278,0,0.052036047,0.04228018,0,-0.5279,0.051015653,0,0.58788097,0.034687165,0,0.44194895,0.08229542,0,-0.096397996,0.04250194,0,0.22458330560409284
b'2M10174206-4628297',NGC3201,0.06942806467556607,258.38104,4931.092,1.4572,0,0,1.0,-1.437,0.010326834,0,0.18608308,0.023444993,0,0.23500061,0.023810912,0,0.22279501,0.033777505,0,-0.32176995,0.042680427,0,-0.32231903,0.023995157,0,0.16325903,0.068994455,0,-0.0073980093,0.034973666,0,0.2253777508896348
b'2M17023086-2606252',NGC6273,0.6123590052129441,71.74197,4855.8936,1.6715,0,0,0.9989399999999999,-1.726,0.019462537,0,-0.027047038,0.042833038,0,0.25261056,0.046543676,0,0.5162749,0.073546685,0,0.27135992,0.08655305,0,1.1349809,0.052328374,0,-0.25584102,0.122711934,0,-0.37399805,0.07135068,0,0.22566441317659777
